Original_Venture_Name,Year_Foundation,Alternative_Name
Moblrn-Mobilized Learning AB,2015,Moblrn
Mioying Financial Technology (HK) Limited,2016,MioTech
"Beijing MiningLamp Software System Co., Ltd.",2014,MinigLamp
"Zhejiang Mingdu Zhikong Technology Co., Ltd.",2017,MingDu Intelligent
Destygo SAS,2016,Mindsay
"ConnectIQ Labs, Inc.",2016,Miles
"Mines.io, Inc.",2014,Migo
Peakers,2016,Mewcket
Oxiway Ltd,2012,MeVitae
"ReplyYes, Inc.",2015,MessageYes
Mendel Health Inc.,2016,Mendel.ai
Elise A.I. Technologies Corp.,2017,MeetElise
"Reliant Immune Diagnostics, L.L.C",2016,MDBox
Universal mCloud Corp.,2010,mCloud
"Beijing Maifei Technology Co., Ltd.",2016,Mcfly
"Super-H Analytics, Inc.",2015,MavenView
Matelabs Innovations Private Limited,2016,Mate Labs
Q-Hedge Technology,2011,MarieQuantier
"Merlinio Technologies, LLC",2016,MagicQuote
"Legoly, Inc.",2016,Magia.ai
"Adtrib, Inc.",2013,MaestroQA
PT LYKE Eservices Indonesia,2016,LYKE
Lybra.Tech Slr,2017,Lybra.tech | Intelligent Revenue Assistant
"Deep Insight Solutions, Inc.",2017,Lucd
"Lentil AI, Inc",2018,Loop Team
Logojoy Inc.,2016,Looka
"Lola Travel Company, Inc.",2015,Lola.com
LogsHero Ltd.,2014,Logz.io
Crtland,2018,Logo Island
TheLogically Limited,2017,Logically
"StreamLineCall, Inc",2014,LocateAI
Beijing Chehejia Technology Ltd,2015,Lixiang
"Hangzhou Voice Network Technology Co., Ltd.",2016,ListenRobot
"2HZ,INC.",2017,Lindein - Krisp
"Petametrics, Inc.",2014,LiftIgniter
Leverage EdTech Pvt. Ltd.,2017,Leverage Edu
meetLeo,2016,LeO
"LMND Medical Group, Inc.",2013,Lemonaid Health
"LTLW, Inc.",2016,LegalMation
"Laugh Radio, Inc.",2016,Laugh.ly
"Beijing Laiye Network Technology Co., Ltd.",2015,Laiye
"9 Dozen ML, Inc",2019,Kurvv
"Beijing Kuaile Zhihui Technology Co., Ltd.",2015,Kuaile Zhihui
"Kemoko, Inc.",2014,Koko
"Polis, Inc.",2015,Knoq
OnEMI Technology Solutions Private Limited,2015,Kissht
KISI Inc.,2014,Kisi Security
"Kindred Systems, Inc.",2014,Kindred AI
KELA Corporate Intelligence,2009,Kela Group
PT YesBoss Group Indonesia,2015,Kata.ai
KanKan AI technology,2013,Kankan Smart
GetRentr Ltd.,2015,Kamma
PT. Julo Teknologi Perdana,2014,Julo
SwiftAce Inc.,2017,Jovian.ml
"JoBox, Inc.",2016,JOBOX.ai
Jobs and Talent S.L.,2009,Jobandtalent
"Shanghai Jingzhi Network Technology Co., Ltd.",2016,Jingzhi Network
"Shenzhen JiaTui Technology Co., Ltd.",2017,Jiatui Technology
"Beijing Jiabao Kangle Health Management Co., Ltd.",2016,Jiabao Kangle
"January, Inc.",2017,January
Blackbird SAS,2012,Jam
"Hangzhou iTrigger Computer Technology Co., Ltd.",2017,iTrigger.cn
Venn Biosciences Corporation,2017,InterVenn
Insta Communications GmbH,2015,Instahelp
"Inpher, Inc.",2015,Inpher.io
"Xi'an Inno Aviation Technology Co., Ltd.",2015,Inno Aviation
Futureofwork INC.,2016,Indeiz
iGenius Srl,2016,"iGenius, the AI company"
Airbud Technologies Inc.,2018,Hyro
