Original_Venture_Name,Year_Foundation,Alternative_Name
"CloudCar, Inc.",2011,
Ada Digital Health Ltd,2011,
First Access,2011,
Blue River Technology Inc.,2011,
QuanticMind Inc.,2011,
"Playdek, Inc.",2011,
Able Lending LLC,2011,
enercast GmbH,2011,
"Swoop.com, Inc.",2011,
"Kahuna, Inc.",2011,
"AIStorm, Inc.",2011,
"PullString, Inc.",2011,
"Agentjet, Inc.",2011,
Vilynx Inc.,2011,
Edison Software Inc.,2011,
"Whitetruffle, Inc.",2011,
MyBucks S.A.,2011,
Snap Tech,2011,
Showpad NV,2011,
"Emerald Logic, Inc.",2011,
Aktana Inc.,2011,
Alcmeon SAS,2011,
Pacemaker Music AB,2011,
Optina Diagnostics Inc.,2011,
"Tresata, Inc.",2011,
netwave,2011,
"Braze, Inc.",2011,
OncoStem Diagnostics Pvt. Ltd.,2011,
gestigon GmbH,2011,
Meolink SA,2011,
JIMU Intelligent,2011,
XpertSea Solutions Inc.,2011,
Klear,2011,
Synthace Ltd,2011,
iKala interactive media inc.,2011,
Compatibility LLC,2011,
"Pymetrics, Inc.",2011,
Wattics Ltd.,2011,
"Inmobly, Inc.",2011,
Justto,2011,
"Red Points Solutions, S.L.",2011,
"Bizible, Inc.",2011,
"Linux Academy, Inc.",2011,
WebyClip Ltd,2011,
"UlalaLAB,Inc.",2011,
Phybbit Ltd.,2011,
"Brio Device, LLC",2011,
Orange Chef,2011,
Plumbr OÜ,2011,
"Shenzhen Starmerx E-commerce Co., Ltd.",2011,
ADYOULIKE SA,2011,
Perx Technologies Pte Ltd,2011,
Tellmeplus S.A.S.,2011,
Crowdbase Inc.,2011,
Liberty Health Sciences Inc.,2011,
"NC Design & Consulting Co., Ltd.",2011,
Meteo-Logic Ltd.,2011,
"StrongArm Technologies, Inc.",2011,
Precogs,2011,
"TransformativeMed, Inc.",2011,
"Lifecode, Inc.",2011,
"Seismic Software, Inc.",2011,
Incubapps Limited,2011,
COCO5,2011,
Fundingportal,2011,
Onclusive,2011,
Mobilous Inc.,2011,
"Trivie, Inc.",2011,
ItemBase GmbH,2011,
DataStories International nv,2011,
"Aquifi, Inc.",2011,
"Ditto Technologies, Inc.",2011,
Vuble,2011,
Feedvisor LTD,2011,
WorkGenius,2011,
Granify Inc.,2011,
"Clearstream.TV, Inc.",2011,
"Nara Logics, Inc.",2011,
"Sentrian, Inc.",2011,
"Mental Health Technologies Co., Ltd.",2011,
Summly Limited,2011,
Technology of inverse problems,2011,
Vi,2011,
"Captricity, Inc.",2011,
Qure4u Inc.,2011,
Innefu Labs Pvt Ltd,2011,
"Freshplum, Inc.",2011,
S4 Agtech,2011,
Moogsoft Inc.,2011,
Sight Diagnostics Ltd.,2011,
Dynamic Yield Ltd.,2011,
"Sichuan Wulian Yida Technology Co., Ltd.",2011,
"AdTheorent, Inc.",2011,
Lucena Research LLC,2011,
Vigiglobe S.A.S,2011,
BioGaming,2011,
DAM Good Media Limited,2011,
"Amiigo, Inc.",2011,
MarketXpander Services Private Limited,2011,
"AI Exchange, Inc.",2011,
"Pravoved.RU, OOO",2011,
Maluuba Inc,2011,
"MIXAROO, INC.",2011,
BrainQ Technolgies Ltd,2011,
SOPHiA GENETICS SA,2011,
"ModuleQ, Inc.",2011,
flok LTD,2011,
Minetta Brook Inc.,2011,
Neomatix Ltd.,2011,
UNBXD Software Private Limited,2011,
Datametrex AI Limited,2011,
Good Life Networks Inc.,2011,
"TrustPipe, LLC",2011,
Talview Inc.,2011,
Augury Inc.,2011,
"Qubole, Inc.",2011,
QuarticOn Spólka Akcyjna,2011,
Jampp.com,2011,
Perfect Channel Limited,2011,
"MindAptiv, LLC",2011,
"Nutonian, Inc.",2011,
"Mellitus, LLC",2011,
"Handle, Inc.",2011,
"Unbound Concepts, Inc.",2011,
"Prior Knowledge, Inc.",2011,
Megvii Technology Limited,2011,
Zepo,2011,
Open Influence,2011,
Verifeed,2011,
"TIGALA Co., Ltd.",2011,
"Sociogramics, Inc.",2011,
Quantum Surgical SAS,2011,
WSC Sports Technologies Ltd,2011,
"Udacity, Inc.",2011,
Seevibes,2011,
Ark,2011,
Summly,2011,
Catchoom,2011,
Miew,2011,
"Helpshift, Inc.",2011,
Alicanto,2011,
Quantified Communications,2011,
Thrive Metrics,2011,
Benhauer,2011,
Fligoo,2011,
Elmenus,2011,
SentiOne,2011,
Mosaic,2011,
Roamz,2011,
Steamsharp Technology,2011,
Versus,2011,
Vigiglobe,2011,
Youappi,2011,
Testin,2011,
righTune,2011,
FinalCAD,2011,
MentAd.com Ltd.,2011,
Wise Travel Inc.,2011,
"Jetlore, Inc.",2011,
Kudan Inc.,2011,
seerene GmbH,2011,
"Wibbitz, Inc.",2011,
"Jvion, Inc.",2011,
"City Twig, Inc.",2011,
"Bractlet, Inc.",2011,
"Incoming Media Holdings, Inc.",2011,
"LARK Technologies, Inc.",2011,
"Calysta, Inc.",2011,
Profinda Ltd.,2011,
"Emotion Intelligence, Inc.",2011,
"EaglEyeMed, Inc.",2011,
"Metromile, Inc.",2011,
"BitSight Technologies, Inc.",2011,
"Connectifier, Inc.",2011,
"Groovenauts, Inc.",2011,
Celonis GmbH,2011,
"Prism Skylabs, Inc.",2011,
Wellframe Inc.,2011,
Spectral Edge Ltd,2011,
Mediktor Corp,2011,
"AlphaSense, Inc.",2011,
RxAnte Inc.,2011,
Cloudalize Nv,2011,
Kifi,2012,
Wigzo Technologies Pvt. Ltd.,2012,
Nuuka Solutions Oy,2012,
YesGo,2012,
"Nextremer Co., Ltd.",2012,
"Talentoday, Incorporated",2012,
"CheckiO, Inc.",2012,
Cooladata Ltd.,2012,
"LeapMind, Inc.",2012,
"Judicata, Inc.",2012,
Fantoo Ltd.,2012,
"Deep Forest Media, Inc.",2012,
Intelligence Node Consulting Pvt. Ltd.,2012,
"Reconova Technologies Co., Ltd",2012,
Entefy Inc.,2012,
Unsilo A/S,2012,
eSmart Systems AS,2012,
"Rippleshot, Inc.",2012,
YOST Labs Inc.,2012,
"Roam Robotics, Inc.",2012,
"Jolata, Inc.",2012,
"Spire Global, Inc.",2012,
TappingStone Inc.,2012,
Promoto Inc.,2012,
"ConceptDrop, Inc.",2012,
"SeaStreet, inc.",2012,
adjust GmbH,2012,
BeOnPrice S.L.,2012,
Volo Commerce,2012,
"Utrip, Inc.",2012,
"Petcube, Inc.",2012,
Viva Labs AS,2012,
Datorama Inc.,2012,
Zollo Social Shopping Ltd.,2012,
Exscientia Limited,2012,
Wordego Inc.,2012,
"SmartNews, Inc.",2012,
Unomaly AB,2012,
Target2sell,2012,
"Avi Networks, Inc.",2012,
"Trifacta Software, Inc.",2012,
Channel VAS DMCC,2012,
"ReplyBuy, Inc.",2012,
Collision Management Systems Ltd.,2012,
"UBTECH Robotics, Inc.",2012,
Digital Contact LTD,2012,
"Agolo, Inc.",2012,
"New Sapience, Inc.",2012,
Q-Bot Limited,2012,
"Lionbridge Financing Leasing (China) Co., Ltd.",2012,
LabGenius Ltd,2012,
Scaled Risk SAS,2012,
"eBrevia, Inc.",2012,
"Tamr, Inc.",2012,
Import.io Ltd,2012,
Flitto Inc.,2012,
Teralytics AG,2012,
Birdeye Inc.,2012,
Emailage Corp.,2012,
Tempus Energy Ltd.,2012,
Logical Glue Ltd.,2012,
Bokio AB,2012,
SciSports,2012,
Tamecco K.K.,2012,
Adbrain Ltd.,2012,
"TruSignal, Inc.",2012,
Riskified Ltd.,2012,
Lighthouse8 Pty Ltd.,2012,
Moneytree KK,2012,
Clari Inc.,2012,
Acrossio (Across Lab Inc.),2012,
ClearView Diagnostics,2012,
Make School Inc.,2012,
Phone Warrior Pvt. Ltd.,2012,
"Canopy Labs, Inc.",2012,
"BrightFunnel, Inc.",2012,
TV Squared Limited,2012,
Voyager Labs,2012,
"Qventus, Inc",2012,
Early Birds SAS,2012,
Concirrus Ltd,2012,
Yaoyanshe,2012,
"Neon Labs, Inc.",2012,
Switch Automation Inc.,2012,
MOSKITOS SAS,2012,
SimpleRelevance Inc.,2012,
Kitman Labs Ltd.,2012,
EverString Technology Inc.,2012,
Sight Machine Inc.,2012,
GeckoLabs,2012,
"Skytree, Inc.",2012,
"NerVve Technologies, Inc.",2012,
Eigen Innovations Inc.,2012,
Evergig Music SAS,2012,
DataRPM Corporation,2012,
Leverton GmbH,2012,
"Kairos AR, Inc.",2012,
Jukedeck Limited,2012,
Gooroo Ventures Limited,2012,
Lucideus Tech Private Limited,2012,
Sevamob Ventures USA LLC,2012,
PICWELL INC,2012,
Cylance Inc.,2012,
"Amazing Hiring, Inc.",2012,
ZergNet.com,2012,
EXAI Ltd,2012,
Persado Inc.,2012,
"Ditto Labs, Inc.",2012,
BioBeats Inc.,2012,
LoopMe Ltd.,2012,
Mythic Inc.,2012,
3LOQ Labs Pvt. Ltd.,2012,
"Plum.io, Inc.",2012,
LeapMind Inc.,2012,
TytoCare Ltd.,2012,
Aitonomi TeleRetail,2012,
"Preact, Inc.",2012,
"Salido, Inc.",2012,
"Novolyze, SAS",2012,
DxContinuum Inc.,2012,
Mavrx Inc.,2012,
"Car360, Inc.",2012,
PriceWaiter LLC,2012,
Accusonus Inc.,2012,
"Efinix, Inc.",2012,
Zoomd Technologies Ltd.,2012,
"Natero, Inc.",2012,
Desktop Genetics Ltd.,2012,
Quantib B.V.,2012,
Timeful Inc.,2012,
MedAware Ltd,2012,
Kaybus Inc.,2012,
Sinefa Pty Ltd,2012,
"RingDNA, Inc.",2012,
AppZen Inc.,2012,
CeADAR Ireland,2012,
Yeexun Inc.,2012,
PoptopUK Limited,2012,
findera,2012,
Detective.io,2012,
"Oculus360, Inc.",2012,
Autocosta LLC,2012,
"Jibo, Inc.",2012,
ViSenze Pte. Ltd.,2012,
"Histowiz, Inc.",2012,
transOMIC technologies inc.,2012,
"SetuServ, Inc.",2012,
DynAdmic SAS,2012,
"Swiftype, Inc.",2012,
Contextual Genomics Inc.,2012,
"Tinker Square, Inc.",2012,
Intelligent Ultrasound Group plc,2012,
"PredPol, Inc.",2012,
Glia Inc.,2012,
"Evocalize, Inc.",2012,
Playkey,2012,
"CircleBack, Inc.",2012,
Ask Ziggy LLC,2012,
Qloo Inc.,2012,
"Zoomi, Inc.",2012,
"Yobe, Inc.",2012,
"Arctic Wolf Networks, Inc.",2012,
"Upstart Network, Inc.",2012,
Infermedica Sp. z o.o,2012,
"MLW Squared, Inc.",2012,
Entrupy Inc.,2012,
Soft Space Sdn. Bhd.,2012,
"Declara, Inc.",2012,
Owlin B.V.,2012,
"Boomerang Commerce, Inc.",2012,
"Mobvoi, Inc.",2012,
"H2O.ai, Inc.",2012,
Pattern,2012,
Smartly.AI,2012,
PerfectPattern GmbH,2012,
ideaTree Inc.,2012,
Law&Company,2012,
Appvance.ai,2012,
Navvi,2012,
CrowdCare Corporation,2012,
"Hangzhou Tree Bear Computing Technology Co., Ltd.",2012,
Two Hat Security Research Corp.,2012,
Skin Analytics Limited,2012,
BondIT Ltd.,2012,
Volumental AB,2012,
voiceitt Ltd,2012,
Sparrho,2012,
Elemental Excelerator,2012,
"Springbot, Inc.",2012,
Your.MD Limited,2012,
"7Park Data, Inc.",2012,
AIBRAIN LLC,2012,
ubimo Ltd.,2012,
"MarqMetrix, Inc.",2012,
"Perceivant, LLC",2012,
CallSign Ltd.,2012,
Montoux Limited,2012,
"ADFIN Solutions, Inc.",2012,
Architrave GmbH,2012,
Etix Everywhere SA,2012,
Beijing DeepGlint Technology Limited,2012,
nView Medical Inc.,2012,
Cellwize Wireless Technologies Pte Ltd.,2012,
Kreditech Holding SSL GmbH,2012,
"Emotient, Inc.",2012,
"BigPanda, Inc.",2012,
Alegion Inc.,2012,
Neticle Kft.,2012,
Qsic,2012,
Mintent,2012,
Gooroo,2012,
CrowdANALYTIX Inc,2012,
"Tindie, Inc.",2012,
TechsoMed Medical Technologies Ltd.,2012,
Global Surface Intelligence Ltd.,2012,
FiNC inc.,2012,
"Tact.ai Technologies, Inc.",2012,
Captora Inc.,2012,
Qeexo Inc.,2012,
"Innotrieve, Inc.",2012,
Ascendify Corporation,2012,
Tiplinks Inc.,2012,
"Energy Technology Savings, Inc.",2012,
Ripjar Limited,2012,
EdGE Networks Pvt. Ltd.,2012,
"Beyond Verbal Communication, Ltd.",2012,
"Shanghai Liulishuo Information Technology Co., Ltd.",2012,
"BlueData Software, Inc.",2012,
"Appuri, Inc.",2012,
"Paxata, Inc.",2012,
"HiScene Information Technology Co., Ltd",2012,
Quanttus Inc.,2012,
Mya Systems Inc.,2012,
APPbyYOU,2012,
StoryStream,2012,
Taliaz,2012,
Appvance Inc.,2012,
Inovia AB,2012,
"Sideband Networks, Inc.",2012,
Big Data Partnership Limited,2012,
"MD Insider, Inc.",2012,
"LightMiner Systems, Inc.",2012,
PriceMatch SAS,2012,
Sentieo Inc.,2012,
Creamfinance Poland Sp. z.o.o.,2012,
Arsenal Health,2012,
SpazioDati S.r.l.,2012,
Smart Me Up (SAS),2012,
PKSHA Technology Inc.,2012,
Appier Inc.,2012,
"WhoKnows, Inc.",2012,
Leaper Technology,2012,
Visio Ingenii Ltd,2012,
APEX Technologies,2012,
Logical Buildings,2012,
Nanna Therapeutics,2012,
Lucideus Inc.,2012,
Flutura Business Solutions Pvt. Ltd.,2012,
Aquimo LLC,2012,
"Vestorly, Inc.",2012,
AbCellera Biologics Inc.,2012,
Einsights Pte Ltd.,2012,
Content Square SAS,2012,
"Fit3D, Inc.",2012,
Velmai Ltd,2012,
"Atomwise, Inc.",2012,
"Panair, Inc.",2012,
"Tute Genomics, Inc.",2012,
"Mulu, Inc.",2012,
"Metaresolver, Inc.",2012,
Cloud KPI Ltd,2012,
Crayon Data Pte Ltd.,2012,
"DataRobot, Inc.",2012,
ADTYPE,2012,
Ingrain Media,2012,
Docademic,2012,
Phooto,2012,
Deeao Technology Limited,2012,
Cydar Medical,2012,
adsquare GmbH,2012,
Voysis Limited,2012,
Keelvar Systems Ltd,2012,
PiQube Analytics Private Limited,2012,
"Infinite Analytics, Inc.",2012,
"Potrero Medical, Inc.",2012,
iMerit Technology Services Pvt. Ltd,2012,
AlephD SAS,2012,
"Wise.io, Inc.",2012,
Incapture Technologies LLC,2012,
QUIBIM S.L.,2012,
"Crowdmark, Inc.",2012,
SAS Authentication Industries,2012,
Bench Accounting Inc.,2012,
"Cinnamon, Inc.",2012,
Mnubo Inc.,2012,
Minjar Cloud Solutions Pvt. Ltd.,2012,
SimpleTherapy Inc.,2012,
"Versive, Inc.",2012,
"boomtrain, Inc.",2012,
Near Pte. Ltd.,2012,
"Best Option Trading, LLC",2012,
"Freshub, Inc.",2012,
Rezatec Limited,2012,
ContractPodAi,2012,
holi,2012,
SupPlant,2012,
WaveAcid Inc.,2012,
U-Planner,2012,
Wingit S.A.S,2012,
"Olive, Inc.",2012,
HandInScan Ltd.,2012,
Terranova Inc.,2012,
Faveeo SA,2012,
Reduce Data,2012,
"CollabIP, Inc.",2012,
Machina,2012,
Arara,2012,
Bespoke,2012,
LOCALLY,2012,
Meta,2012,
OfferSavvy,2012,
"FeedbacK Enterprise, LLC",2012,
Ooshot,2012,
ProtoGeo,2012,
Sentisis,2012,
Peak,2012,
"Peaxy, Inc.",2012,
Thoughtly,2012,
SEWORKS,2012,
Eko,2012,
Coinalytics Co.,2012,
Vhoto,2012,
HackerRank,2012,
Cubic Robotics,2012,
DocDoc,2012,
Elloria Medical Technologies,2012,
Bright Box,2012,
Predilytics,2012,
NGDATA,2012,
Brand a Trend GmbH,2012,
Nextwave Software,2012,
Kvantum,2012,
Emu Messenger,2012,
Kite,2012,
"Aviso, Inc.",2012,
Dobleas,2012,
Jellynote,2012,
Appsheet,2012,
"Enlyton, Inc.",2012,
Alation Inc.,2012,
ViriCiti B.V,2012,
LANDR Audio Inc.,2012,
"Fishtree, Inc.",2012,
"Yieldmo, Inc.",2012,
"Cognitive Operational Systems, LLC",2012,
Harvest Exchange Corp.,2012,
Socure Inc.,2012,
"Axle AI, Inc.",2012,
"ABEJA, Inc.",2012,
"MAANA, Inc.",2012,
"Luminar Technologies, Inc.",2012,
Ultranauts Inc.,2012,
Itemize Corp.,2012,
Buzz Radar,2012,
CashDirector,2012,
Loop - The Email Messenger,2012,
Smart Data China,2012,
POLLEN Technology SAS,2012,
"Ebullient, Inc.",2012,
Arimo Inc.,2012,
"Elastica, Inc.",2012,
Lingvist Inc,2012,
Seebo Interactive LTD.,2012,
"Anaconda, Inc.",2012,
"Idibon, Inc.",2012,
"Reflektion, Inc.",2012,
"Faraday, Inc.",2012,
"Synapsify, Inc.",2012,
"Versium Analytics, Inc.",2012,
"C3 HealthcareRx, LLC",2012,
"i-plug Co., Ltd.",2012,
Adthena Ltd,2012,
"Premise Data Corporation, Inc.",2012,
Intelligent Ultrasound Limited,2012,
8 Securities Inc.,2012,
Strateos,2012,
MixMode,2012,
Wholemeaning,2013,
Emergynt,2013,
CXA Group,2013,
DatumTron,2013,
Caption Health,2013,
Travtus,2013,
Implisit Insights Ltd.,2013,
"Encored, Inc.",2013,
Gaussian Robot,2013,
ReSnap B.V.,2013,
"Full Bottle Group, Inc.",2013,
Echosec Systems Ltd.,2013,
Clustaar,2013,
"Altocloud, Inc.",2013,
FuRongBao,2013,
intelliHR Limited,2013,
Skejul Inc,2013,
NNERGIX Energy Management SL,2013,
"IdentityMind Global, Inc.",2013,
"Globatom, Inc.",2013,
Cyndx Networks LLC,2013,
Streamoid Technologies Pvt Ltd,2013,
"SportTechie, Inc.",2013,
"TruValue Labs, Inc.",2013,
Flexound Systems Oy,2013,
Amplion Inc.,2013,
Beezy Inc.,2013,
One True Holding Co.,2013,
GroupBy Inc.,2013,
Lunit Inc.,2013,
TrueAccord Corp.,2013,
"LegalSifter, Inc.",2013,
Unbabel Inc.,2013,
SparkCognition Inc.,2013,
Stemedu.cn,2013,
Snips,2013,
Outcomes Based Healthcare Ltd,2013,
Galgus,2013,
CENTURY Tech,2013,
BestFitMe,2013,
"Gamalon, Inc.",2013,
Realytics SAS,2013,
Akyumen Technologies Corp.,2013,
"Digital H2O, Inc.",2013,
Tessian,2013,
"Medumo, Inc",2013,
"Curate Solutions, Inc.",2013,
Trustlook Inc.,2013,
Fountain Software Inc.,2013,
"Casetext, Inc.",2013,
"MyWorld, Inc.",2013,
"FLYR, Inc.",2013,
Blackwood Seven A/S,2013,
Modcam AB,2013,
"Prsonas, Inc.",2013,
TripFactory Inc.,2013,
Ardoq AS,2013,
"Recursion Pharmaceuticals, Inc.",2013,
Sound Agriculture Company,2013,
Genetesis LLC,2013,
Argon Credit LLC,2013,
MedRhythms Inc.,2013,
"Kiana Analytics, Inc.",2013,
Inbot,2013,
Monotote inc.,2013,
weffect (a brand of STRATACT),2013,
"Tecnos Data Science Marketing, Inc.",2013,
"AlpacaJapan Co., Ltd.",2013,
RainBird Technologies Ltd.,2013,
"Siris Medical, Inc.",2013,
Cyberlytic International Limited,2013,
Teach On Mars SAS,2013,
Shift Technology SAS,2013,
WatrHub Inc.,2013,
"Primer Technologies, Inc.",2013,
ChannelSight Ltd.,2013,
Lantern Pharma Inc.,2013,
Innov'ATM SAS,2013,
"Waterline Data, Inc.",2013,
"Sententia, LLC",2013,
Avata Intelligence,2013,
"Panamplify, Inc.",2013,
"Forter, Inc.",2013,
infibond Ltd.,2013,
"Insurify, Inc.",2013,
"StyleSage, Inc.",2013,
Affinio Inc,2013,
"Wootric, Inc.",2013,
Twizoo LTD.,2013,
Quantcube Technology,2013,
PredicSis SAS,2013,
"POPS! Diabetes Care, Inc.",2013,
Arctic Shores Limited,2013,
Ozlo Inc.,2013,
ThetaRay Ltd.,2013,
Ometria Ltd,2013,
"Simppler, Inc.",2013,
"Moneylion, Inc.",2013,
Fraud.net Inc.,2013,
Accompany,2013,
Lexin,2013,
Shenzhen Gowild Robotics,2013,
Bionic Labs,2013,
Snips SAS,2013,
"Peeridea, Inc.",2013,
Teqmine Analytics Oy,2013,
Nuukik SAS,2013,
Bedrock Analytics Corporation,2013,
"Prevencio, Inc.",2013,
"Beijing Zmeng Network Technology Co., Ltd.",2013,
LevaData Inc,2013,
DATAIKU SAS,2013,
"Zymergen, Inc.",2013,
"AXON Connected, LLC",2013,
omicX,2013,
"Catalant Technologies, Inc.",2013,
Tagflix Pty Inc.,2013,
Beyond Pricing Inc.,2013,
"Workato, Inc.",2013,
"Sonation, Incorporated",2013,
"Wylei, Inc.",2013,
"Airseed, Inc.",2013,
"Usermind, Inc.",2013,
"Algorithmia, Inc.",2013,
NooBaa Inc.,2013,
"Innowatts, Inc.",2013,
Ortron,2013,
"IRIS.TV, Inc.",2013,
"Mobodexter, Inc.",2013,
"Aemass, Inc.",2013,
"Beijing AIQI Technology Co., Ltd.",2013,
Feetz Inc.,2013,
"Perfect Price, Inc.",2013,
Bitcliq,2013,
Origin Wireless Inc,2013,
"Boostable, Inc.",2013,
TypeZero Technologies LLC,2013,
"Unravel Data Systems, Inc.",2013,
Legalogic Ltd.,2013,
ScopeMedia,2013,
Mad Street Den Systems Private Limited,2013,
Rock My World Media,2013,
Eleusis,2013,
TAC Security,2013,
Icecream Labs Inc,2013,
sevDesk,2013,
Rubikloud Technologies Inc.,2013,
"R&B Technology Holding Co., Ltd.",2013,
Curate,2013,
DocAuthority,2013,
Codota Dot Com Ltd.,2013,
"VYDIA, Inc.",2013,
Therapixel SA,2013,
"sfara, Inc.",2013,
"WriteLab, Inc.",2013,
Tracxn Technologies Private Limited,2013,
Hardscore Games GmbH,2013,
Mad Street Den Inc.,2013,
Fashwell AG,2013,
FireVisor Systems Pte. Ltd.,2013,
"Shanghai Slamtec Co., Ltd.",2013,
Aistemos Limited,2013,
Udesk Ltd.,2013,
Synchronext,2013,
6Sense Insights Inc.,2013,
"Fyusion, Inc.",2013,
"Careerscore, Inc.",2013,
Watty AB,2013,
"Raw Shorts, Inc.",2013,
Turi Inc.,2013,
Blue Ocean Robotics ApS,2013,
Aromyx Corporation,2013,
BrandShield Ltd.,2013,
"Fortscale Security, Inc.",2013,
Predictronics Corp.,2013,
"SVXR, Inc.",2013,
"Fundbox, Inc.",2013,
Viscovery,2013,
EruditeAI,2013,
Transwarp,2013,
Social Coin,2013,
DoneBy,2013,
Implantable Artificial Kidney,2013,
DealStart,2013,
CloudRadigm Pte Ltd,2013,
"Content Analytics, Inc.",2013,
WinClap,2013,
Lumiata Inc.,2013,
Corlytics,2013,
Hds Global,2013,
"SpaceKnow, Inc.",2013,
Viscovery Pte. Ltd.,2013,
Levyx Inc.,2013,
untapt Inc.,2013,
AdviceGames The Netherlands B.V.,2013,
Databricks Inc.,2013,
Vatbox Ltd.,2013,
InfoPrice,2013,
Fluvip LLC,2013,
OurCrowd Ltd.,2013,
"Shenzhen Xiaoman Technology Co., Ltd.",2013,
Zenatix Solutions Pvt. Ltd,2013,
"Edge Case Research, Inc.",2013,
"CognitiveScale, Inc.",2013,
"GA technologies Co., Ltd.",2013,
"Kensho Technologies, Inc.",2013,
Tactic Real-Time Marketing AS,2013,
HATCHER+,2013,
Lakeba Group Pty Ltd,2013,
Arevo Health,2013,
Novofina,2013,
Bitmain Technologies Limited,2013,
"ImanisData, Inc.",2013,
"NuMat Technologies, Inc.",2013,
BridgeU Limited,2013,
Falkonry Inc.,2013,
"Iterate Studio, Inc.",2013,
"Crosswise, Ltd.",2013,
Talivest,2013,
"WhereFor, LLC",2013,
firstAI,2013,
"Rigetti & Co, Inc.",2013,
Lambda Inc.,2013,
Ownpage Technology SAS,2013,
"FollowAnalytics, Inc.",2013,
Arable Labs Inc.,2013,
Civil Maps,2013,
Cyclica Inc.,2013,
People Pattern Corporation,2013,
Yingying Intelligent,2013,
LeadCrunch Inc.,2013,
"Shanghai MOLBASE Technology Co.,Ltd.",2013,
MaxQ AI Ltd.,2013,
CybelAngel SAS,2013,
RelinkLabs AS,2013,
Indico Data Solutions Inc.,2013,
Dental Monitoring SAS,2013,
"Eastwind Networks, Inc.",2013,
Digital Catapult,2013,
Athena Wisdom,2013,
"Octave Bioscience, Inc.",2013,
Memory AS,2013,
"Haystagg, Inc.",2013,
Lightricks Ltd.,2013,
"Blinkfire Analytics, Inc.",2013,
"Revmetrix, Inc.",2013,
Decibel Insight Limited,2013,
Body Labs Inc,2013,
"uSens, Inc.",2013,
"Super Dispatch, Inc",2013,
Nozomi Networks Inc.,2013,
"Metron, SAS",2013,
"DIDiT, Inc.",2013,
"Cyber X, Inc.",2013,
Seeq Corporation,2013,
Lobster IT Limited,2013,
"Predikto, Inc.",2013,
"PERSPICA NETWORKS, INC.",2013,
Digital Genius Ltd.,2013,
Unibap AB (publ),2013,
"Datacamp, Inc.",2013,
"Cognoa, Inc.",2013,
"IUNU, Inc.",2013,
"Neural Analytics, Inc.",2013,
"WaitTime, L.L.C",2013,
"Reactful, Inc.",2013,
TVAdSync Limited,2013,
"Netsanity, Inc.",2013,
"Beijing Wecash Technology Co., Ltd.",2013,
Apvera Pte. Ltd.,2013,
Huddly AS,2013,
"Exabeam, Inc.",2013,
Career Anna Education Pvt. Ltd.,2013,
Eekoh,2013,
Israel Tech Challenge,2013,
"Permutive, Inc.",2013,
"SignalSense, Inc.",2013,
"Veelo, Inc.",2013,
Doordu,2013,
SmartGreen Ltd.,2013,
RapidDeploy USA Corp.,2013,
"Hangzhou Tongdun Technology Co., Ltd.",2013,
"Domino Data Lab, Inc.",2013,
HaikuJAM Inc.,2013,
StopDDoS,2013,
SportLogiq Inc.,2013,
"Polymorph Labs, Inc.",2013,
Gallop Labs Inc.,2013,
"Second Spectrum, Inc.",2013,
"MOLCURE, Inc.",2013,
"Teneology, Inc.",2013,
"Deserve, Inc.",2013,
"SkyDisc,Inc.",2013,
Ai Driving,2013,
"Civis Analytics, Inc.",2013,
Saberr Limited,2013,
NVMdurance Limited,2013,
"Heuritech, SAS",2013,
Verso Learning Pty Ltd,2013,
SoftCube LLC,2013,
"Wit.AI, Inc.",2013,
Transmetrics OOD,2013,
appArray Inc.,2013,
Nire iHealth,2013,
Echobox,2013,
LVS Brokers,2013,
Transterra Media,2013,
Chaser,2013,
"Solfice Research, Inc.",2013,
1DOC3 S.A.S.,2013,
Antuit Holdings Pte. Ltd.,2013,
Imagimob AB,2013,
Agralogics Inc.,2013,
"Clarifai, Inc.",2013,
Fictiv Inc.,2013,
Pimmr,2013,
Keeeb Inc.,2013,
BorderX Lab Inc.,2013,
"Tesorio, Inc.",2013,
SiteZeus Services LLC,2013,
Raven Telemetry Inc.,2013,
Artificial Labs Limited,2013,
Flybits Inc.,2013,
"Atlas Wearables, Inc.",2013,
Swapcard Corporation,2013,
Aureus Analytics Pvt. Ltd.,2013,
Pulse Evolution Corporation,2013,
"Physiq, Inc.",2013,
Exiger LLC,2013,
NarrativeDx Inc.,2013,
Welmo Inc.,2013,
Fanbank Inc.,2013,
Dragontail Systems Limited,2013,
Haptik Infotech Pvt Ltd,2013,
Kokoon Technology Limited,2013,
The Learning Corp,2013,
"OpenMail, LLC",2013,
iotec,2013,
Twisto payments a.s.,2013,
QuickLaunch,2013,
"Roam Analytics, Inc.",2013,
"Aldin Dynamics, ehf.",2013,
"Predictive Science, Inc.",2013,
"Framed Data, Inc.",2013,
High Mobility GmbH,2013,
"Cloudtenna, Inc.",2013,
DMWay Analytics,2013,
Zettata,2013,
"Sols, Inc.",2013,
App Orchid Inc.,2013,
Ltd. Getintent,2013,
Shiroyagi Corporation,2013,
"Butterfleye, Inc.",2013,
E8 Security Inc.,2013,
Ylopo LLC,2013,
"NodePrime, Inc.",2013,
SafeToNet Ltd,2013,
"Flyreel, Inc.",2013,
Claned Group Oy Ab,2013,
"Trove AI, Inc.",2013,
"Eyefluence, Inc.",2013,
Barkibu S.L.,2013,
Winnow Solutions Ltd,2013,
Sendlane,2013,
